Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
IL34,-0.365275101,-0.386833198,-2.417949416,0.020340804,0.046156522,-3.836949636,-0.604524359,-0.256218502
ZFPM1,-0.413905799,2.214971487,-2.417518211,0.020361716,0.046196159,-3.837859944,1.979662421,2.356156926
MRPL21,-0.246142566,1.807466445,-2.417306239,0.020372003,0.046211682,-3.83830739,1.661552125,1.895015036
PKIA,-0.339220163,0.288283802,-2.417101066,0.020381964,0.046226461,-3.838740458,0.084870232,0.410331945
PRDM15,-0.147279612,0.021907741,-2.415805235,0.020444982,0.046361545,-3.841474996,-0.063332366,0.073051805
ZFP64,-0.241384653,0.498751333,-2.414726667,0.020497568,0.046472933,-3.84375023,0.362700072,0.58038209
FBXO8,0.20477452,1.422238832,2.414145909,0.020525933,0.04652938,-3.844975026,1.539787891,1.351709397
FGD2,-0.299540759,2.745437732,-2.413035631,0.020580261,0.046644651,-3.847315957,2.560423559,2.856446236
HCAR3,0.477585028,5.316662756,2.412747295,0.020594391,0.04666879,-3.847923759,5.574411793,5.162013335
PLA2G16,-0.311613656,1.349175258,-2.412252158,0.020618676,0.04671593,-3.848967367,1.14246137,1.473203591
NOS1AP,0.18557046,-0.912060124,2.41194911,0.020633553,0.04674174,-3.849606029,-0.805708509,-0.975871093
ASCC2,0.609686606,5.189712504,2.411520462,0.020654611,0.046773645,-3.850509287,5.533440703,4.983475584
ARHGAP21,0.179822705,0.467947557,2.411579736,0.020651698,0.046773645,-3.850384389,0.573939379,0.404352463
WARS2,-0.177869203,0.311326317,-2.411337123,0.020663624,0.046786157,-3.850895587,0.207240099,0.373778048
SNCA,0.930892718,4.848497021,2.411033368,0.020678565,0.046812082,-3.851535558,5.346163669,4.549897032
KCNH2,0.544053226,0.606194432,2.410738781,0.020693064,0.046837,-3.852156158,0.980040376,0.381886865
TAF9,-0.339392421,2.387225871,-2.409929349,0.020732949,0.046919361,-3.853861083,2.171903226,2.516419457
TMEM144,0.21083911,-0.315191569,2.409190374,0.020769424,0.046993975,-3.855417234,-0.201825912,-0.383210963
RSU1,0.216310506,3.81502161,2.409031056,0.020777296,0.047003856,-3.855752685,3.928779074,3.746767131
MPP6,-0.275787751,-0.375840035,-2.408124648,0.020822129,0.047097339,-3.857660847,-0.542473732,-0.275859816
PRKAG2,0.213031791,1.963697154,2.406620157,0.020896739,0.047258129,-3.860826919,2.09183154,1.886816522
