Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
NAPA,1.318060593,4.313194565,7.34277269,7.51E-08,9.86E-06,8.168899991,5.428476606,4.110416013
POLRMT,1.547945508,3.684545485,7.338523575,7.59E-08,9.88E-06,8.158759013,4.99434553,3.446400022
ERAL1,2.031494292,3.165591078,7.279927333,8.77E-08,1.10E-05,8.018669457,4.884547787,2.853053495
MDN1,1.4002053,1.316869523,7.290950515,8.53E-08,1.10E-05,8.045057785,2.501658623,1.101453323
SCP2,-1.148837426,5.492942756,-7.278601959,8.80E-08,1.10E-05,8.015495576,4.520849549,5.669686975
KPNB1,-1.196957172,3.903575409,-7.283671915,8.69E-08,1.10E-05,8.027635378,2.890765495,4.087722666
NAB1,-2.081951504,2.010444613,-7.281301939,8.74E-08,1.10E-05,8.021960988,0.24879334,2.330744845
DCPS,2.562749595,0.18754676,7.271531836,8.95E-08,1.11E-05,7.998560824,2.356027186,-0.206722409
PKD1L1,0.846230377,-0.495446838,7.266142507,9.07E-08,1.12E-05,7.9856476,0.22059425,-0.625636127
ZNF318,1.05742207,0.198250427,7.249645712,9.45E-08,1.15E-05,7.94609645,1.092992179,0.035570109
ARMC1,2.552687769,0.123936947,7.242410103,9.62E-08,1.17E-05,7.928737817,2.28390352,-0.268784249
LMNB1,-1.899545458,1.977674582,-7.238602052,9.71E-08,1.17E-05,7.919599347,0.370366886,2.269912345
BGN,4.966257266,2.985654836,7.225825277,1.00E-07,1.18E-05,7.88892413,7.187872523,2.221615257
ARIH2,-0.845703299,4.165604212,-7.228485961,9.96E-08,1.18E-05,7.895313805,3.450009113,4.295712412
DAZAP2,-0.929974847,7.223041202,-7.221401221,1.01E-07,1.18E-05,7.878297646,6.436139409,7.366114256
GTF2H3,-2.244910292,2.059684081,-7.228640866,9.95E-08,1.18E-05,7.895685784,0.160144603,2.405054896
FYTTD1,-1.829119408,1.840310911,-7.207703288,1.05E-07,1.22E-05,7.845379394,0.292594489,2.121713897
ADAMTS13,0.968853717,1.044756838,7.195772801,1.08E-07,1.23E-05,7.816688752,1.864556137,0.89570242
PRKAR1A,-1.236551958,5.770352407,-7.201229925,1.07E-07,1.23E-05,7.829814428,4.724039212,5.96059117
VIL1,1.254598436,-0.579150557,7.191743297,1.09E-07,1.24E-05,7.806994367,0.482432735,-0.772165701
EID1,-1.485509509,7.201651937,-7.172380469,1.14E-07,1.29E-05,7.76038102,5.944682352,7.430191861
HEMK1,0.781073563,1.746909248,7.163537242,1.17E-07,1.30E-05,7.739076077,2.407817648,1.626744085
IPO8,-1.417828359,1.366383207,-7.163749082,1.17E-07,1.30E-05,7.739586555,0.166682288,1.584510647
EAF1,1.99007718,0.167824503,7.152370966,1.20E-07,1.32E-05,7.712160108,1.851735963,-0.138341217
CWC22,-1.656846619,0.752765439,-7.147542262,1.22E-07,1.32E-05,7.700515699,-0.6491817,1.007664919
YIPF5,-2.976369432,2.773960793,-7.148988152,1.21E-07,1.32E-05,7.704002774,0.25549435,3.231863783
HYOU1,1.913440664,2.208439635,7.132410109,1.26E-07,1.35E-05,7.664005181,3.827504813,1.914064148
TOM1,1.603142387,3.215725579,7.130006061,1.27E-07,1.35E-05,7.658202047,4.572230676,2.969088289
ALDH4A1,1.514247212,1.931356824,7.128241356,1.28E-07,1.35E-05,7.653941753,3.212642926,1.698395715
CMTM1,-1.068238968,2.176303095,-7.130506098,1.27E-07,1.35E-05,7.659409147,1.272408584,2.340647551
EIF2D,1.42197447,1.502224119,7.105343019,1.35E-07,1.42E-05,7.59862527,2.705433286,1.283458816
