Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
COPRS,2.574287167,7.040009111,6.83618539,5.59E-05,0.003192213,2.322033097,7.898104833,5.323817667
SIGLEC9,2.4090055,5.480365667,6.868715045,5.38E-05,0.003192213,2.359753981,6.2833675,3.874362
AKIP1,1.746563167,5.930907444,6.850852874,5.49E-05,0.003192213,2.339059476,6.513095167,4.766532
CYFIP1,1.686167167,4.788009444,6.836759776,5.58E-05,0.003192213,2.322700421,5.350065167,3.663898
TDO2,1.663294977,0.714051941,6.855367606,5.46E-05,0.003192213,2.344294272,1.2684836,-0.394811377
MGST3,1.528622667,6.772693111,6.855300637,5.46E-05,0.003192213,2.344216643,7.282234,5.753611333
GSTO1,1.125796,9.088304333,6.839335208,5.57E-05,0.003192213,2.325692006,9.463569667,8.337773667
GNPTG,1.0111735,6.983463333,6.847772353,5.51E-05,0.003192213,2.335486011,7.320521167,6.309347667
RTKN2,-1.447290564,0.972745624,-6.834052326,5.60E-05,0.003192213,2.319554492,0.490315436,1.937606
UBE2C,2.420885,4.626368,6.828402848,5.64E-05,0.003195247,2.31298678,5.433329667,3.012444667
S100A9,3.232447846,10.06292811,6.822606461,5.68E-05,0.00320254,2.306243662,11.14041073,7.907962883
PPARG,1.981817167,7.351215778,6.819700854,5.70E-05,0.00320254,2.302861717,8.0118215,6.030004333
ATP6V0D1,1.441960333,6.469386556,6.807099338,5.78E-05,0.003237825,2.288180719,6.95004,5.508079667
UNC5B,2.9904882,3.393808933,6.799847836,5.83E-05,0.003252868,2.279722541,4.390638333,1.400150133
HAUS4,1.0671585,6.073513667,6.796397866,5.86E-05,0.003253319,2.275695906,6.429233167,5.362074667
