Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
RCC2,-0.76849845,6.735658485,-13.57525934,2.09E-26,2.33E-24,49.48625422,6.197740023,6.967941457
EIF3G,-0.646858697,6.527531417,-13.57189341,2.13E-26,2.35E-24,49.46781035,6.072897419,6.723850644
C5orf30,1.767503966,3.491782678,13.55889909,2.29E-26,2.50E-24,49.39659833,4.721373281,2.960823099
ST6GAL1,-0.909064495,6.908655647,-13.55527375,2.33E-26,2.53E-24,49.37672806,6.277348081,7.181265732
TTC26,1.7337881,3.029272944,13.53616626,2.59E-26,2.78E-24,49.27198362,4.246978408,2.503445585
DHRS7B,0.699067764,4.257361711,13.53549924,2.60E-26,2.78E-24,49.26832655,4.745518425,4.046566767
RPS19,-1.037332421,7.501157137,-13.50611272,3.06E-26,3.25E-24,49.1071744,6.778955427,7.813016966
KIAA1257,1.430804682,4.369877079,13.49785087,3.21E-26,3.37E-24,49.06185482,5.372680745,3.936848223
TRIB2,-0.933315691,5.995894937,-13.49364719,3.28E-26,3.43E-24,49.03879381,5.346758044,6.27620405
EMP3,-0.803852826,8.107459231,-13.4882737,3.38E-26,3.50E-24,49.00931326,7.543180757,8.351124936
EXOC6,0.951126126,5.696094832,13.44780476,4.23E-26,4.35E-24,48.78721459,6.358403568,5.410097878
MTFMT,0.686709482,4.664432485,13.44071712,4.40E-26,4.49E-24,48.74830328,5.142636279,4.457935393
CD3E,-1.391161473,7.901643805,-13.40569136,5.34E-26,5.41E-24,48.55595282,6.93572241,8.318746225
TOR1AIP2,0.464834447,5.376309983,13.40049775,5.50E-26,5.53E-24,48.52742296,5.70171755,5.23579308
AK2,-0.511644161,6.44298123,-13.39884933,5.55E-26,5.54E-24,48.51836732,6.083225131,6.598330454
RPL23A,-1.117514876,7.989241569,-13.39219224,5.76E-26,5.71E-24,48.48179418,7.210956126,8.325319373
ATP8B2,-1.087738132,6.52065817,-13.37092699,6.48E-26,6.37E-24,48.36494269,5.765332478,6.846821537
CHMP7,-0.900896268,6.451060418,-13.36862792,6.57E-26,6.41E-24,48.35230731,5.827825167,6.720184731
NUDT16,1.186462312,5.188990576,13.36557733,6.68E-26,6.47E-24,48.33554106,6.015017173,4.832297273
DDOST,-0.57489562,6.725766982,-13.35142733,7.22E-26,6.95E-24,48.25776224,6.320896699,6.900597332
RAB36,1.762488611,3.519644524,13.34299469,7.57E-26,7.23E-24,48.21140285,4.751339741,2.987776135
RPN2,-0.621592538,6.963814176,-13.33182145,8.05E-26,7.64E-24,48.14996833,6.527254175,7.152328721
FAM102A,-1.316440796,6.524173847,-13.32793294,8.23E-26,7.75E-24,48.12858565,5.61393221,6.917232736
POMK,-0.590009578,7.518958607,-13.32564131,8.34E-26,7.80E-24,48.11598358,7.104834154,7.697785075
