Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
UPB1,-0.244753509,0.544781967,-1.161114473,0.247846417,0.594761902,-5.771913473,0.376263158,0.621016667
PILRB,-0.138704198,0.915969672,-1.161882108,0.247535612,0.594761902,-5.771047248,0.820468421,0.959172619
CXCL3,-0.270489348,1.90507541,-1.162167128,0.247420281,0.594761902,-5.77072548,1.718836842,1.98932619
PTPN6,-0.19958114,2.860027049,-1.160977808,0.24790178,0.594761902,-5.772067632,2.722610526,2.922191667
ITGA2,-0.123220363,0.484763934,-1.158629749,0.248854343,0.595588691,-5.774713479,0.399923684,0.523144048
GPRC5C,0.223259148,0.358901639,1.158798109,0.248785956,0.595588691,-5.774523941,0.512621053,0.289361905
CD40LG,-0.277692356,2.182403279,-1.15889067,0.248748364,0.595588691,-5.774419726,1.991205263,2.268897619
TRIM26,0.517637782,2.331777869,1.157881239,0.249158543,0.595831536,-5.775555816,2.688184211,2.170546429
NEK7,-0.244150564,0.944485246,-1.157344718,0.249376751,0.595868513,-5.776159264,0.776381579,1.020532143
ZP4,-0.087160902,-0.049927049,-1.156214584,0.249836829,0.596482893,-5.777429478,-0.109939474,-0.022778571
CPTP,-0.098299561,0.45997377,-1.155567303,0.250100608,0.596627993,-5.778156443,0.392292105,0.490591667
COL2A1,-0.218879637,0.879680328,-1.154173829,0.250669142,0.597499276,-5.77972011,0.728976316,0.947855952
SERPINB1,0.451187155,3.36334918,1.153172759,0.251078139,0.597989183,-5.780842308,3.674002632,3.222815476
NRGN,-0.251058772,2.881968033,-1.151389195,0.251808,0.599241872,-5.78283932,2.709107895,2.960166667
BGN,-0.113458709,0.092090164,-1.150137414,0.252321141,0.599977212,-5.784239103,0.013971053,0.127429762
MB,-0.169055576,0.315377869,-1.148970995,0.252799953,0.6006298,-5.785542089,0.198978947,0.368034524
APOC1,0.114100063,0.263152459,1.146967986,0.253623678,0.601418745,-5.7877766,0.341713158,0.227613095
NPY,-0.198764035,0.903506557,-1.146671141,0.253745915,0.601418745,-5.788107429,0.766652632,0.965416667
ALPI,-0.324690602,-0.153118852,-1.146840427,0.2536762,0.601418745,-5.787918773,-0.376676316,-0.051985714
GM2A,-0.123407957,0.985198361,-1.143456985,0.255072116,0.601850689,-5.79168419,0.900228947,1.023636905
NPTN,-0.193908709,-0.075718033,-1.14439476,0.254684675,0.601850689,-5.790641635,-0.209228947,-0.015320238
HIP1R,0.336400439,2.099172131,1.14381867,0.254922637,0.601850689,-5.791282192,2.330792105,1.994391667
INPP1,0.270174185,0.847657377,1.143252046,0.255156842,0.601850689,-5.791911916,1.033678947,0.763504762
NCK2,-0.252247619,2.921528689,-1.144326744,0.254712762,0.601850689,-5.790717279,2.74785,3.000097619
TBC1D23,-0.224385276,1.945486885,-1.144939402,0.254459847,0.601850689,-5.790035755,1.790992105,2.015377381
CEMIP2,-0.072113534,0.403209836,-1.142755738,0.255362107,0.60185183,-5.792463243,0.353557895,0.425671429
BTC,-0.242816353,0.21450082,-1.139070548,0.256889876,0.604967424,-5.79654963,0.047315789,0.290132143
CBLIF,-0.241604699,0.228663934,-1.137626189,0.257490412,0.605896174,-5.79814771,0.062313158,0.303917857
MPIG6B,-0.199990789,3.655082787,-1.135823271,0.258241413,0.60688697,-5.800139726,3.517384211,3.717375
DPEP2,-0.094927005,-1.806261475,-1.135624117,0.258324464,0.60688697,-5.800359578,-1.871621053,-1.776694048
ISLR2,-0.093651128,0.016694262,-1.133828818,0.259073986,0.608161698,-5.802339762,-0.047786842,0.045864286
CSF2RB,-0.128753383,0.215839344,-1.13268107,0.25955396,0.608248375,-5.803604102,0.127189474,0.255942857
SPARC,-0.245590664,1.889805738,-1.133098176,0.259379459,0.608248375,-5.80314477,1.720710526,1.96630119
USP28,-0.16749386,1.104763115,-1.132256223,0.259731783,0.608248375,-5.804071788,0.989439474,1.156933333
VEGFA,-0.143704699,1.442607377,-1.13158144,0.260014395,0.608425404,-5.804814261,1.343663158,1.487367857
CALB2,0.136164724,-0.040110656,1.127857394,0.261577972,0.611165741,-5.808904078,0.053642105,-0.082522619
LONP1,-0.262929762,2.374033607,-1.12681384,0.262017296,0.611165741,-5.810047762,2.193,2.455929762
TIA1,-0.341532769,3.320422131,-1.127216405,0.26184776,0.611165741,-5.809606693,3.085268421,3.42680119
